goos: darwin
goarch: arm64
pkg: github.com/phiryll/lexy
BenchmarkBool/get-10                 	589873226	         2.431 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/get-10                 	519099434	         2.301 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/get-10                 	529058733	         2.255 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/get-10                 	481889972	         2.416 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/get-10                 	579630922	         2.222 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/get-10                 	565372910	         2.039 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/get-10                 	589114995	         2.052 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/get-10                 	552368778	         2.040 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/get-10                 	589526208	         2.403 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/get-10                 	545642625	         2.107 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/get-10                 	474129253	         2.149 ns/op	       0 B/op	       0 allocs/op
BenchmarkBool/get-10                 	554696012	         2.039 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/append_nil-10         	86070610	        13.68 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint8/append_nil-10         	82506361	        13.68 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint8/append_nil-10         	84047590	        13.65 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint8/append_nil-10         	84003223	        13.75 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint8/append_nil-10         	84570075	        13.66 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint8/append_nil-10         	84469119	        13.61 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint8/append_nil-10         	83632435	        13.64 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint8/append_nil-10         	83059352	        13.64 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint8/append_nil-10         	83952776	        13.58 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint8/append_nil-10         	84860875	        13.61 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint8/append_nil-10         	83971868	        13.57 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint8/append_nil-10         	83708276	        13.61 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint8/append_nil-10         	88305774	        13.56 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint8/append_nil-10         	82545850	        13.64 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint8/append_nil-10         	83541460	        13.64 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint8/append_nil-10         	83085714	        13.60 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint8/append_nil-10         	82770750	        13.58 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint8/append_nil-10         	83168970	        13.59 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint8/append_nil-10         	83133436	        13.59 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint8/append_nil-10         	82695172	        13.58 ns/op	       8 B/op	       1 allocs/op
BenchmarkUint8/append-10             	583461778	         2.107 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/append-10             	584451400	         2.149 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/append-10             	571357831	         2.212 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/append-10             	541984917	         2.088 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/append-10             	533567606	         2.339 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/append-10             	510677324	         2.401 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/append-10             	587908318	         2.234 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/append-10             	577412814	         2.228 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/append-10             	554926338	         2.067 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/append-10             	581144406	         2.054 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/append-10             	588537495	         2.305 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/append-10             	539253436	         2.242 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/append-10             	506279624	         2.097 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/append-10             	584262152	         2.566 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/append-10             	523960743	         2.141 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/append-10             	518333061	         2.063 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/append-10             	552370581	         2.225 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/append-10             	455457590	         2.339 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/append-10             	581585194	         2.328 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/append-10             	544810576	         2.127 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/put-10                	557769418	         2.096 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/put-10                	580760962	         2.156 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/put-10                	552392829	         2.313 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/put-10                	576494978	         2.116 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/put-10                	575952999	         2.329 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/put-10                	529806879	         2.411 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/put-10                	540403004	         2.466 ns/op	       0 B/op	       0 allocs/op
BenchmarkUint8/put-10                	477783481	         2.115 ns/op	       0 B/op	       0 allocs/op
